ID,Received.DBT.Intervention.,Teacher.Same.Ethnicity.,Teacher.Same.Gender.,Behavioral.Regulation.Slope...Teacher.Report,Meta.Cognitive.Slope...Teacher.Report,All.Executive.Functions.Slope...Teacher.Report,Behavioral.Regulation.Slope...Student.Self.Report,Meta.Cognitive.Slope...Student.Self.Report,All.Executive.Functions.Slope...Student.Self.Report,Mindfulness.Slop,Emotional.Regulation.Slope,Discipline.Incidents.Slope,Self.Reflection.Slope,In.School.Suspension.Slope,Out.of.School.Suspension.Slope,ELA.Grade,Math.Grade,Female.,Free.Reduced.School.Lunch.Group,Economic.Distress.,Mother.at.Home.,Father.at.Home.,Adult.Brother.at.Home.,Adult.Sister.at.Home.,Grandparent.at.Home.,Other.Adult.at.Home.,Total.Number.of.Adults.st.Home,Special.Education.Status,Intellectual.Impairment.,Social.Emotional.Impairment,High.Risk.Category,Years.at.This.School,Number.of.School.Absences,Year.2.Incidents,Ethnicity.Asian,Ethnicity.American_Indian,Ethnicity.Black,Ethnicity.Multiracial,Ethnicity.White
1,0,0,0,0.086206896551724,-0.410344827586207,-0.030166435506241,0.131578947368421,0.371428571428571,0.124352331606218,-1.00000000000001,0.125,-3.3993498887763E-17,-0.115384615384615,-1,-1.5,1.85,1.7,1,1,0,1,1,1,1,0,0,4,1,0,0,1,5,25,3,0,0,0,0,0
2,0,0,0,0.333333333333334,-0.02184637068358,0.056159420289855,0.157243816254417,0.615384615384621,0.04177897574124,-0.500000000000001,-0.090909090909091,-5.43895982204207E-16,0.75,-1.5,-1.5,1.98,1.9,0,0,1,1,0,1,1,1,1,5,1,1,1,3,6,NA,33,0,0,0,0,0
3,0,0,1,-0.101815823605707,-0.101362862010221,-0.050944106729787,0.07940640458214,0.0727969348659,0.038470178591486,0.166666666666666,0.038461538461539,0.25,0.75,-5.43895982204207E-16,-1.5,2,1.43,0,0,1,1,0,1,0,0,0,2,1,0,1,0,7,15,46,0,0,0,0,0
4,0,0,1,-0.399999999999999,0.166666666666667,0.038461538461536,-0.118421052631579,0.394736842105266,-0.034883720930234,-4.55512885096024E-15,0.499999999999996,-1.5,-1,-1,-1.5,2.53,1.51,1,-1,1,1,1,1,1,1,0,5,0,0,0,0,6,21,3,0,0,0,0,0
5,0,0,0,-0.3125,-0.188172043010753,-0.121145374449339,NA,0.121557828481511,0.094570374275171,0.095238095238095,0.031854648419066,-0.016483516483517,0.25,-0.5,0.5,2,1.78,0,-1,1,1,1,1,0,0,0,3,0,0,0,0,7,15,52,0,0,0,0,0
6,0,0,1,0.048262548262548,0.056156015037594,0.027335536197056,0.175,0.118673971585105,0.082443683914798,0.041944074567244,0.016949152542373,0.123711340206185,0.5,1.5,-1,1.91,1.9,1,-1,1,1,0,0,1,0,NA,2,1,1,0,0,7,11,29,0,0,1,0,0
7,0,0,0,0.066847335140018,0.047941404949506,0.027953768767039,0.277777777777778,-0.192307692307691,-0.1,0.055555555555556,0.028301886792453,1.5,1.5,-0.749999999999999,-0.5,1.85,3,0,1,0,1,1,0,0,1,0,3,0,0,0,0,6,15,37,0,0,0,0,0
8,0,0,1,0.112580618826027,0.058704836370515,0.039771210676835,0.115853658536585,0.004237288135593,0.027137042062415,0.043478260869565,0.023255813953488,0.75,1.5,0.5,1.5,2.53,1.99,1,-1,1,NA,1,1,0,0,0,3,0,0,0,NA,7,12,37,0,0,0,0,0
9,0,0,1,0.014799154334037,0.255656108597285,0.199315654405474,0.151053864168618,0.087461300309598,0.057855280312907,-0.25,0.041666666666667,-0.0625,0.5,-0.749999999999999,-0.5,2.56,1.94,1,1,0,1,1,1,0,1,0,4,0,0,0,0,7,38,30,0,0,0,0,0
10,0,0,0,0.041284403669725,0.028313074414468,0.019302284398796,0.079207920792079,0.118022328548644,0.076423936553713,0.068181818181818,0.039643515673018,1.5,1.5,0.5,1,1.85,1.57,1,-1,NA,NA,1,1,0,1,1,5,0,0,0,0,5,7,30,0,0,0,0,0
11,0,0,0,-0.002802341512019,-0.009190425618822,-0.003385240352065,0.082278481012658,0.499999999999999,0.072164948453608,-0.25,0.022727272727273,-1,-0.115384615384616,0.5,-1.5,1.81,NA,0,-1,1,0,0,0,0,0,0,0,1,1,0,0,4,14,0,0,0,0,NA,0
